Source,Target,Type,Label
dpev1,mant2,Undirected,Gleiche Gruppe
dpev1,mea,Undirected,Gleiche Gruppe
dpev1,thd3,Undirected,Gleiche Gruppe
dpev1,thd4,Undirected,Gleiche Gruppe
dpev1,wueb,Undirected,Gleiche Gruppe
dpev2,flm3,Undirected,Gleiche Gruppe
dpev2,flm4,Undirected,Gleiche Gruppe
dpev2,kt1,Undirected,Gleiche Gruppe
dpev2,kt2,Undirected,Gleiche Gruppe
dpev2,mant1,Undirected,Gleiche Gruppe
dpev2,mant2,Undirected,Gleiche Gruppe
dpev2,mea,Undirected,Gleiche Gruppe
dpev2,thd3,Undirected,Gleiche Gruppe
dpev2,thd4,Undirected,Gleiche Gruppe
dpev2,wueb,Undirected,Gleiche Gruppe
flm3,flm4,Undirected,Gleiche Gruppe
flm3,kt1,Undirected,Gleiche Gruppe
flm3,kt2,Undirected,Gleiche Gruppe
flm3,mant1,Undirected,Gleiche Gruppe
flm3,mant2,Undirected,Gleiche Gruppe
flm3,mea,Undirected,Gleiche Gruppe
flm3,thd3,Undirected,Gleiche Gruppe
flm3,thd4,Undirected,Gleiche Gruppe
flm3,wueb,Undirected,Gleiche Gruppe
flm4,kt1,Undirected,Gleiche Gruppe
flm4,kt2,Undirected,Gleiche Gruppe
flm4,mant1,Undirected,Gleiche Gruppe
flm4,mant2,Undirected,Gleiche Gruppe
flm4,mea,Undirected,Gleiche Gruppe
flm4,thd3,Undirected,Gleiche Gruppe
flm4,thd4,Undirected,Gleiche Gruppe
flm4,wueb,Undirected,Gleiche Gruppe
kt1,kt2,Undirected,Gleiche Gruppe
kt1,mant1,Undirected,Gleiche Gruppe
kt1,mant2,Undirected,Gleiche Gruppe
kt1,mea,Undirected,Gleiche Gruppe
kt1,thd3,Undirected,Gleiche Gruppe
kt1,thd4,Undirected,Gleiche Gruppe
kt1,wueb,Undirected,Gleiche Gruppe
kt2,mant1,Undirected,Gleiche Gruppe
kt2,mant2,Undirected,Gleiche Gruppe
